Code,Name,Symptoms,Treatments
111,Lung Contusion,"chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","supportive care (including supplemental oxygen, pain management, and respiratory support), monitoring in a hospital setting (to assess lung function and overall stability), treatment of associated injuries (such as rib fractures), management of complications (such as pneumonia or respiratory failure), prevention of further complications (such as deep vein thrombosis or pressure ulcers), respiratory therapy (including breathing exercises and airway clearance techniques), possible use of mechanical ventilation in severe cases"
112,Hypertrophic Obstructive Cardiomyopathy (HOCM),"shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","medications to relieve symptoms and improve heart function (such as beta-blockers, calcium channel blockers, and disopyramide), medications to prevent abnormal heart rhythms (such as anti-arrhythmic drugs), medications to reduce blood clotting (such as aspirin or anticoagulants), implantable cardioverter-defibrillator (icd) placement (to monitor and correct abnormal heart rhythms), septal myectomy (surgical removal of a portion of the thickened heart muscle), alcohol septal ablation (destruction of excess heart muscle with alcohol injection), lifestyle modifications (such as avoiding strenuous activities, managing stress, and maintaining a healthy weight), regular follow-up visits with a cardiologist"
113,Pulmonary Eosinophilia,"cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","identification and treatment of underlying causes (such as parasitic infections, drug reactions, or allergic reactions), corticosteroids (such as prednisone) to reduce inflammation, bronchodilators (such as inhalers) to relieve bronchospasm and improve airflow, antiparasitic medications (if parasitic infection is identified), immunosuppressive medications (in severe cases), avoidance of triggers or allergens (if identified), symptomatic treatment for associated symptoms (such as fever or cough), regular monitoring and follow-up with a healthcare professional"
114,Corneal Disorder,"blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops, antibiotic or antifungal eye drops (if infection is present), corticosteroid eye drops or ointments (to reduce inflammation), bandage contact lenses, therapeutic contact lenses, corneal transplantation (in severe cases), refractive surgeries (such as lasik or prk) to correct vision, protective eyewear or sunglasses, avoiding irritants or triggers, regular eye examinations and monitoring, lifestyle modifications (such as proper eye hygiene and avoiding eye strain)"
115,Foreign Body in the Gastrointestinal Tract,"abdominal pain or discomfort, difficulty swallowing, choking or gagging, drooling, nausea or vomiting, loss of appetite, chest pain or pressure, respiratory distress, coughing or wheezing, gastrointestinal bleeding, bowel obstruction, perforation of the digestive tract","observation and monitoring (for small, smooth, and non-sharp objects that are likely to pass through the digestive tract without complications), endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body), surgical intervention (in cases of severe complications, large or sharp objects, or failed endoscopic removal attempts), supportive care (such as intravenous fluids, pain management, and antibiotics if infection is present), imaging studies (such as x-rays or ct scans) to evaluate the location and extent of the foreign body, consultation with a gastroenterologist or surgeon for appropriate management"
116,Endophthalmitis,"eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","immediate medical attention is required. treatment may include: intravenous antibiotics or antifungal medications, intravitreal injections (injections of antibiotics or antifungal agents directly into the eye), vitrectomy (surgical removal of the gel-like fluid within the eye), topical or oral medications (to manage pain, inflammation, or infection), frequent follow-up visits with an ophthalmologist, supportive care (such as warm compresses or lubricating eye drops)"
117,Achalasia,difficulty swallowing,"balloon dilation, surgery, medication"
118,Conductive Hearing Loss,"reduced hearing sensitivity, muffled or blocked sound","medications, surgical intervention, hearing aids"
119,Abdominal Hernia,"visible bulge or swelling, discomfort or pain","watchful waiting, hernia truss, surgical repair, lifestyle changes"
120,Marijuana Abuse,"impaired memory and cognition, altered judgment, anxiety","behavioral therapy, counseling, support groups, medication, detoxification"
121,Cryptococcosis,"headache, fever, fatigue, cough, meningitis, pneumonia","antifungal medication (e.g., amphotericin b, fluconazole), supportive care"
122,Obesity,"excessive body weight, increased risk of chronic conditions","antifungal medication eg  amphotericin b, fluconazole, supportive care"
123,Indigestion,"abdominal pain, bloating, heartburn, nausea, acidic taste","lifestyle changes (e.g., dietary modifications, stress reduction), over-the-counter antacids, medication, therapy"
124,Bursitis,"joint pain, swelling, tenderness, limited range of motion","rest, ice, compression, elevation (rice therapy), pain relievers, physical therapy, steroid injections"
125,Esophageal Cancer,"difficulty swallowing, unintentional weight loss, chest pain, hoarseness","surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials"
126,Pulmonary Congestion,"shortness of breath, cough, wheezing, fatigue, chest discomfort or tightness","diuretics, medications to manage underlying conditions (e.g., heart failure), oxygen therapy, lifestyle changes"
127,Juvenile Rheumatoid Arthritis,"joint pain, swelling, stiffness, limited range of motion, fever, rash","medications (nsaids, dmards), physical therapy, occupational therapy, exercise, assistive devices"
128,Actinic Keratosis,"rough, scaly patches on the skin, usually in sun-exposed areas","topical medications (e.g., fluorouracil, imiquimod, diclofenac), cryotherapy, curettag"
129,Acute Otitis Media,"ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","antibiotics, pain relievers (e.g., acetaminophen, ibuprofen), warm compresses, ear drops, tympanostomy tubes (in some cases)"
130,Astigmatism,"blurred or distorted vision, eye strain, headaches,uneven curvature of cornea","eyeglasses, contact lenses, refractive surgery (lasik, prk), orthokeratology, toric intraocular lenses"
131,Tuberous Sclerosis,"benign tumors in various organs, seizures, developmental delays, skin abnormalities","medications (anti-seizure, behavioral, etc.), surgery (for tumor removal), therapy (physical, occupational, speech), educational interventions, support services, genetic counseling, monitoring of organ involvement"
132,Empyema,"fever, chest pain, productive cough with foul-smelling or bloody sputum","antibiotics, drainage (chest tube insertion, thoracentesis), surgical intervention (decortication), supportive care, treatment of underlying cause"
133,Presbycusis,"gradual hearing loss, difficulty hearing high-pitched sounds, speech sounds muffled or unclear","hearing aids, assistive listening devices, cochlear implants (in severe cases), communication strategies, counseling, regular hearing evaluations"
134,Neonatal Jaundice,"yellowing of the skin and eyes, pale stools, dark urine","phototherapy, exchange transfusion (in severe cases), monitoring of bilirubin levels, addressing underlying causes (e.g., breastfeeding)"
135,Dislocation of the Elbow,"severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","closed reduction (realigning the bones without surgery), immobilization (splint or cast), physical therapy, pain management, surgical intervention (in complex or recurrent cases)"
136,Spondylosis,"neck or back pain, stiffness, limited range of motion, numbness or weakness in the extremities","medications (pain relievers, muscle relaxants), physical therapy, exercise, posture improvement, heat or cold therapy, spinal injections, surgery (in severe cases or if conservative treatments fail)"
137,Herpangina,"sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","symptomatic relief (pain relievers, throat lozenges, mouth rinses), rest, fluids, maintaining good oral hygiene, avoiding spicy or acidic foods"
138,Poisoning due to Antidepressants,"nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","seek immediate medical assistance or contact a poison control center, activated charcoal (if indicated), supportive care (maintaining vital signs, airway management), gastric lavage (in certain cases), administration of antidotes (if available and appropriate), monitoring and management of complications"
139,Infection of Open Wound,"redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise","cleaning and irrigation of the wound, antibiotic therapy (oral or intravenous), wound dressings, wound debridement (if necessary), tetanus prophylaxis"
140,Protein Deficiency,"muscle wasting, fatigue, weakness, delayed wound healing, swelling of the limbs, hair loss, impaired immunity","increasing protein intake through diet (lean meats, fish, dairy, legumes, nuts), protein supplements, nutritional counseling, addressing underlying causes (e.g., malabsorption)"
141,Myoclonus,"sudden, brief muscle contractions or jerks, often affecting the arms, legs, or face","identifying and treating underlying causes (e.g., medication adjustments, metabolic imbalances), medications (anti-seizure drugs, tranquilizers), physical therapy, supportive care"
142,Bone Spur of the Calcaneus,"heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue","nonsteroidal anti-inflammatory drugs (nsaids), orthotic devices, physical therapy, stretching exercises, shoe modifications, corticosteroid injections, surgical removal (in severe cases)"
143,Von Willebrand Disease,"easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool","desmopressin (ddavp) medication, replacement therapy with von willebrand factor (vwf) concentrate or cryoprecipitate, oral contraceptives (for women with heavy menstrual bleeding), avoiding certain medications, dental care precautions, regular medical follow-up"
144,Heart Block,"fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","medications (such as beta-blockers, calcium channel blockers), pacemaker implantation (in severe cases or symptomatic heart block), underlying condition management"
145,Colonic Polyp,"most colonic polyps do not cause symptoms. some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.","polypectomy (removal of polyp during colonoscopy), surveillance colonoscopy (regular monitoring for recurrence or new polyps), lifestyle modifications (healthy diet, regular exercise, smoking cessation), follow-up based on pathology findings"
146,Hypospadias,"abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination","surgical repair (hypospadias repair surgery), hormone therapy (in some cases), counseling and support for the child and family"
147,Magnesium Deficiency,"muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures","dietary changes (consuming magnesium-rich foods), oral magnesium supplements, intravenous magnesium therapy (in severe cases), addressing underlying causes (e.g., malabsorption), medical supervision and monitoring"
148,Female Infertility of Unknown Cause,"inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other","fertility testing and evaluation (hormone tests, imaging, genetic screening), lifestyle modifications (healthy diet, regular exercise, stress reduction), fertility treatments (assisted reproductive technologies, fertility medications)"
149,Pericarditis,"chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","nonsteroidal anti-inflammatory drugs (nsaids) to reduce inflammation and pain, colchicine (for recurrent or persistent pericarditis), corticosteroids (in severe cases or when nsaids are ineffective), antibiotics (if bacterial infection is present), lifestyle modifications (rest, avoiding strenuous activity), treating underlying causes (if identified), potential pericardiocentesis (fluid drainage)"
150,Attention Deficit Hyperactivity Disorder (ADHD),"inattention, hyperactivity, impulsivity","behavioral therapy, parent training programs, medication (such as stimulants or non-stimulants), individualized education plans (ieps) for academic support, accommodations and modifications in school, psychoeducation, counseling"
151,Neuromyelitis Optica,"optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)","high-dose corticosteroids, plasma exchange (to remove antibodies from the blood), immunosuppressive therapy (such as azathioprine or rituximab), supportive care to manage symptoms, physical therapy or rehabilitation for functional recovery"
152,Pulmonic Valve Disease,"fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","medications (such as diuretics, beta-blockers, or calcium channel blockers), surgical interventions (such as balloon valvuloplasty or valve replacement), lifestyle modifications (such as regular exercise, heart-healthy diet, smoking cessation), regular follow-up with a cardiologist"
153,Tietze Syndrome,"chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","nonsteroidal anti-inflammatory drugs (nsaids), pain relievers, local heat or ice application, avoiding activities that worsen symptoms, supportive measures (such as wearing loose clothing or using supportive pillows), physical therapy (to improve posture and strengthen muscles), corticosteroid injections (in some cases), stress reduction techniques"
154,Cranial Nerve Palsy,"depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","treatment depends on the underlying cause and specific cranial nerve affected. it may include medications (such as corticosteroids or antiviral drugs), physical therapy, speech therapy, occupational therapy, eye exercises, surgery (in some cases), and management of any underlying conditions."
155,Conversion Disorder,"neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking","psychotherapy (such as cognitive-behavioral therapy or psychodynamic therapy), physical therapy or rehabilitation (to improve physical function and reduce disability), addressing underlying stressors or psychological factors, supportive care and reassurance, potentially medications (such as antidepressants or anti-anxiety medications)"
156,Complex Regional Pain Syndrome,"severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion","physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (tens), patient education and self-management techniques"
157,Otosclerosis,"hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments"
158,Hypothyroidism,"fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","hormone replacement therapy with synthetic thyroid hormone (levothyroxine), regular monitoring of thyroid hormone levels and adjustment of medication dosage, lifestyle modifications (such as healthy diet and regular exercise), management of associated symptoms (such as cholesterol-lowering medications or antidepressants), education and support for long-term management"
159,Primary Insomnia,"difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","cognitive-behavioral therapy for insomnia (cbt-i), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)"
160,Lice,itching and visible presence of lice or nits (eggs) in the hair,"over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides), manual removal of lice and nits using a fine-toothed comb, washing and drying of infested clothing and bedding at high temperatures, vacuuming of upholstery and household surfaces, disinfection of personal items that cannot be washed or dried, avoiding direct head-to-head contact with infested individuals, education and prevention strategies"
161,Vitamin B12 Deficiency,"fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","vitamin b12 supplementation (such as oral supplements or injections), dietary changes to include b12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of b12 levels and treatment adjustment"
162,Vulvodynia,"persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (cbt), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)"
163,Endometriosis,"pelvic pain (during menstruation, intercourse, or bowel movements), heavy menstrual bleeding, infertility","pain management (such as nonsteroidal anti-inflammatory drugs [nsaids], hormonal contraceptives, or progestins), hormone therapy (such as gonadotropin-releasing hormone [gnrh] agonists or oral contraceptives), surgical interventions (such as laparoscopic excision or hysterectomy), fertility treatments (if pregnancy is desired), lifestyle modifications (such as regular exercise, stress management), complementary therapies (such as acupuncture or dietary changes)"
164,Vasculitis,"inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss","treatment depends on the type and severity of vasculitis. it may include corticosteroids, immunosuppressive medications (such as cyclophosphamide or azathioprine), biologic therapies (such as rituximab), disease-specific treatments (such as plasmapheresis for certain types), supportive care to manage symptoms (such as pain relievers or blood pressure medications), monitoring and management of associated complications (such as organ damage or infections)"
165,Concussion,"headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","physical and cognitive rest, gradual return to normal activities, symptom management (such as pain relievers or anti-nausea medication), monitoring for complications (such as changes in neurological function), cognitive rehabilitation (if persistent cognitive problems), management of associated symptoms (such as sleep disturbances or mood changes), education and support for recovery, avoiding further head injuries"
166,Oral Leukoplakia,"white patches or plaques in the mouth, often on the tongue or inside of the cheeks, that cannot be scraped off","regular monitoring and follow-up, identification and elimination of potential irritants (such as tobacco or alcohol), improving oral hygiene practices, medication (such as topical retinoids or antifungal agents), surgical removal (in some cases), cryotherapy (freezing the patches), laser therapy, lifestyle modifications (such as healthy diet), regular dental check-ups, education and support"
167,Chronic Kidney Disease,"fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ace inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care"
168,Bladder Disorder,"frequent urination, urgency, pelvic pain","medications, bladder training, lifestyle changes"
169,Chorioretinitis,"eye pain, blurred vision, sensitivity to light","antiviral medications, corticosteroids, eye drops"
170,Priapism,"persistent, painful erection","medical intervention (aspiration, medication, surgery)"
171,Myositis,"muscle weakness, pain, inflammation","medications (corticosteroids, immunosuppressants), physical therapy"
172,Mononucleosis,"fatigue, sore throat, swollen lymph nodes","rest, pain relievers, fluids, symptom management"
173,Neuralgia,"sharp, shooting pain along the affected nerve","medications (pain relievers, anticonvulsants), nerve blocks"
174,Polycystic Kidney Disease,"abdominal pain, high blood pressure, kidney cysts","symptom management, blood pressure control, dialysis"
175,Bipolar Disorder,"mood swings, manic episodes, depressive episodes","medications (mood stabilizers, antipsychotics), therapy"
176,Amyloidosis,"fatigue, weight loss, organ dysfunction",treatment depends on the type and extent of organ damage
177,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"weakness, numbness, tingling in limbs","immunoglobulin therapy, corticosteroids, physical therapy"
178,Gastroesophageal Reflux Disease (GERD),"heartburn, acid reflux, chest pain","lifestyle changes, medications (antacids, proton pump inhibitors)"
179,Vitreous Hemorrhage,"floaters in vision, blurry vision, eye pain","observation, laser treatment, vitrectomy (in severe cases)"
180,Antimicrobial Drugs Poisoning,"nausea, vomiting, diarrhea, neurological symptoms","immediate medical attention, supportive care, antidote administration"
181,Scleroderma,"thickening of the skin, raynaud's phenomenon","medications (immunosuppressants), therapy, symptom management"
182,Myasthenia Gravis,"muscle weakness, fatigue, difficulty speaking","medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)"
183,Hypoglycemia,"shaking, dizziness, confusion, sweating","consuming glucose or sugar-containing foods, adjusting medication or insulin dosage"
184,Idiopathic Absence of Menstruation,lack of menstrual periods,"evaluation to determine underlying cause, hormone therapy"
185,Dislocation of the Ankle,"swelling, severe pain, inability to bear weight","reduction (realigning the bones), immobilization, rehab"
186,Carbon Monoxide Poisoning,"headache, dizziness, nausea, confusion","fresh air, oxygen therapy, immediate medical attention"
187,Panic Attack,"chest pain, shortness of breath, palpitations","breathing exercises, relaxation techniques, therapy"
188,Plantar Fasciitis,"heel pain, tenderness, difficulty walking","rest, stretching exercises, orthotic devices, physiotherapy"
189,Hyperopia,"difficulty seeing objects up close, blurred vision when focusing on near objects","eyeglasses, contact lenses, refractive surgery"
190,Sedatives Poisoning,"drowsiness, confusion, slowed breathing","immediate medical attention, supportive care, antidote administration"
191,Pemphigus,painful blisters on the skin and mucous membranes,"corticosteroids, immunosuppressants, wound care"
192,Peyronie Disease,"curvature of the penis, pain during erections","medications, traction therapy, surgery"
193,Hiatal Hernia,"heartburn, chest pain, difficulty swallowing","lifestyle changes, medications (antacids, proton pump inhibitors)"
194,Extrapyramidal Effect of Drugs,"muscle stiffness, tremors, involuntary movements","adjusting medication dosage, switching to alternative medications"
195,Meniere Disease,"vertigo, hearing loss, tinnitus, ear fullness","medications (diuretics, anti-vertigo drugs), lifestyle changes"
196,Anal Fissure,"pain during bowel movements, rectal bleeding","stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)"
197,Chronic Otitis Media,"ear pain, hearing loss, recurrent ear infections","antibiotics, ear drops, surgical intervention (in some cases)"
198,Hirschsprung Disease,"chronic constipation, abdominal distension, failure to pass meconium (in newborns)",surgery to remove the affected part of the colon (pull-through procedure)
199,Polymyalgia Rheumatica,"muscle pain and stiffness, joint pain, fatigue","low-dose corticosteroids, nonsteroidal anti-inflammatory drugs (nsaids)"
200,Lymphedema,"swelling in arms or legs, feeling of heaviness or tightness","compression therapy, exercise, lymphatic drainage techniques, surgery (in severe cases)"
201,Bladder Cancer,"blood in urine, frequent urination, pelvic pain","surgery, chemotherapy, radiation therapy"
202,Acute Bronchospasm,"wheezing, shortness of breath, chest tightness","bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)"
203,Acute Glaucoma,"severe eye pain, blurred vision, halos around lights","medications (eye drops), laser therapy, surgery (in some cases)"
204,Dislocation of the Patella,"knee pain, swelling, inability to straighten the leg","manual reduction, immobilization, physical therapy"
205,Sciatica,pain radiating from the lower back to the leg,"pain medications, physical therapy, stretching exercises"
206,Hypercalcemia,"fatigue, nausea, excessive thirst, kidney stones","treating underlying cause, hydration, medications"
207,Stress Incontinence,unintentional urine leakage during physical activity,"pelvic floor exercises, behavioral techniques, surgery (in severe cases)"
208,Benign Kidney Cyst,"abdominal or flank pain, blood in urine, frequent urination","observation, medication (if needed), surgery (in rare cases)"
209,Hydrocele of the Testicle,swelling of the scrotum,"observation, surgical drainage (in some cases)"
210,Hirsutism,excessive hair growth in women,"medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes"
211,Hydronephrosis,"flank pain, urinary frequency, swelling in the abdomen","treating underlying cause, medications, ureteral stent, surgery"
212,Diverticulosis,"abdominal pain, bloating, changes in bowel movements","high-fiber diet, medications (pain relievers, antibiotics)"
213,Pain after an Operation,"surgical site pain, discomfort, swelling","pain medications, ice packs, rest, wound care"
214,Huntington Disease,"motor, cognitive, and psychiatric symptoms","supportive care, medications (to manage symptoms), therapy"
215,West Nile Virus,"fever, headache, body aches, rash","supportive care, symptom management, prevention of mosquito bites"
216,Lymphoma,"swollen lymph nodes, unexplained weight loss, fatigue","chemotherapy, radiation therapy, immunotherapy, targeted therapy"
217,Dermatitis due to Sun Exposure,"redness, itching, rash, blistering","topical corticosteroids, moisturizers, avoiding sun exposure"
218,Anemia due to Chronic Kidney Disease,"fatigue, weakness, pale skin","erythropoiesis-stimulating agents (esa), iron supplementation, blood transfusions (in severe cases)"
219,Injury to Internal Organ,"abdominal pain, bleeding, organ dysfunction","immediate medical attention, diagnostic tests, surgery (in some cases)"
220,Scleritis,"eye redness, severe eye pain, blurred vision","steroid eye drops, nonsteroidal anti-inflammatory drugs (nsaids), immunosuppressants"
221,Pterygium,growth on the conjunctiva (white part of the eye),"artificial tears, eye lubricants, surgical removal (in severe cases)"
222,Fungal Infection of the Skin,"rash, itching, redness, peeling skin","antifungal creams, powders, or oral medications, proper hygiene and skin care"
223,Insulin Overdose,"low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","immediate treatment of hypoglycemia, medical assistance, adjusting insulin dosage and regimen"
224,Syndrome of Inappropriate Secretion of ADH (SIADH),"excessively concentrated urine, low blood sodium levels","treating underlying cause, fluid restriction, medications to suppress adh (vasopressin) secretion, addressing electrolyte imbalance"
225,Premenstrual Tension Syndrome,"mood swings, bloating, breast tenderness, irritability","lifestyle changes, medications (pain relievers, hormonal contraceptives), therapy"
226,Orbital Cellulitis,"eye pain, swelling, redness, vision changes","antibiotics, hospitalization (in severe cases), surgical drainage (in some cases)"
227,Injury to the Leg,"pain, swelling, bruising, difficulty walking","r.i.c.e. (rest, ice, compression, elevation), pain medications, physical therapy"
228,Hepatic Encephalopathy,"confusion, forgetfulness, personality changes, tremors","treating underlying liver disease, medications to manage symptoms, dietary modifications"
229,Bone Cancer,"bone pain, fractures, fatigue, unexplained weight loss","surgery, chemotherapy, radiation therapy, targeted therapy"
230,Leishmaniasis,"skin sores, fever, weight loss, enlarged spleen or liver","antiparasitic medications, treatment of complications, vector control measures (in endemic areas)"
231,Chagas Disease,"fever, fatigue, body aches, heart and digestive problems","antiparasitic medications, medications to manage symptoms, supportive care"
232,Syringomyelia,"muscle weakness, loss of sensation, chronic pain","surgical decompression, draining of syrinx (cyst), physical therapy, pain management techniques"
233,Pulmonary Fibrosis,"shortness of breath, dry cough, fatigue","medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation"
234,Mitral Valve Disease,"fatigue, shortness of breath, heart palpitations","medications, lifestyle changes, surgical repair or replacement of the valve (in severe cases)"
235,Parkinson Disease,"tremors, stiffness, slowness of movement","medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation"
236,Gout,"intense joint pain, swelling, redness","medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes"
237,Otitis Media,"ear pain, fever, fluid drainage from the ear","antibiotics (if bacterial infection), pain relievers, observation (in some cases)"
238,Myelodysplastic Syndrome,"fatigue, frequent infections, easy bruising or bleeding","supportive care, blood transfusions, medications, bone marrow transplantation (in some cases)"
239,Fracture of the Shoulder,"shoulder pain, swelling, limited range of motion","immobilization (sling, brace), pain management, physical therapy, surgical intervention (in severe cases)"
240,Acute Kidney Injury,"decreased urine output, fluid retention, fatigue","treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)"
241,Threatened Pregnancy,"vaginal bleeding, abdominal cramps, pelvic pain","bed rest, medications (progesterone), monitoring, avoiding activities that may stress the pregnancy"
242,Intracranial Abscess,"headache, fever, neurological deficits","antibiotics, surgical drainage or removal of the abscess, supportive care"
243,Gum Disease,"swollen, red, tender gums, bleeding gums","oral hygiene practices (brushing, flossing), professional dental cleanings, medications, surgical interventions"
244,Open Wound from Surgical Incision,"redness, swelling, discharge from the wound","wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions"
245,Gastrointestinal Hemorrhage,"abdominal pain, vomiting blood, bloody or black stools","blood transfusions, endoscopy, surgery (in severe cases), medications to stop bleeding"
246,Seborrheic Dermatitis,"red, itchy, and oily patches of skin, dandruff, flaky scalp","topical antifungal creams or ointments, medicated shampoos, corticosteroid creams"
247,Drug Abuse (Methamphetamine),"increased energy and alertness, decreased appetite, rapid heartbeat","detoxification, counseling, behavioral therapies, support groups, medication-assisted treatment (if applicable)"
248,Torticollis,"neck pain, stiffness, and abnormal head positioning","physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)"
249,Antihypertensives Poisoning,"dizziness, low blood pressure, slow heart rate, nausea, vomiting","immediate medical attention, activated charcoal administration, supportive care, specific antidotes"
250,Tension Headache,"mild to moderate head pain, tightness or pressure sensation on both sides of head","over-the-counter pain relievers, relaxation techniques, stress management"
251,Alcohol Intoxication,"slurred speech, impaired coordination, confusion","supportive care, ensuring hydration, monitoring vital signs, prevention of complications"
252,Scurvy,"fatigue, swollen and bleeding gums, joint pain","vitamin c supplementation, dietary changes, oral hygiene maintenance"
253,Narcolepsy,"excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)","stimulant medications, antidepressants, lifestyle modifications, scheduled naps"
254,Food Allergy,"rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","avoidance of allergenic food, antihistamines, epinephrine (in severe cases)"
255,Labyrinthitis,"vertigo, dizziness, nausea, hearing loss, ear pain","medications (antibiotics, antivirals), vestibular rehabilitation therapy"
256,Anxiety,"excessive worrying, restlessness, increased heart rate, panic attacks","therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)"
257,Impulse Control Disorder,"impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges","psychotherapy, medication (in some cases), support groups, behavioral interventions"
258,Stenosis of the Tear Duct,"excessive tearing, eye discharge, recurrent eye infections","tear duct probing, dilation, surgical correction"
